HEX_ID,WK_MORNING,WK_AFTERNOON,WKND_HOL,I_WM,I_WM_p,I_WA,I_WA_p,I_WK,I_WK_p,Gi_WM_z,Gi_WM_p,Gi_WA_z,Gi_WA_p,Gi_WK_z,Gi_WK_p,mk_tau,mk_p,EHSA
H0001,0,0,0,0.17077520189103015,0.5587160933401475,0.1312403111890101,0.6082244294829044,NA,NA,-0.5847496065156478,0.5587160933401476,-0.5126096101104027,0.6082244294829042,NA,NA,1,1,Not_Significant
H0002,0,0,0,0.17077520189103015,0.4737730735094146,0.1312403111890101,0.5300185518190873,NA,NA,-0.7163535424379491,0.47377307350941483,-0.6279776950657879,0.5300185518190872,NA,NA,1,1,Not_Significant
H0003,0,0,0,0.17077520189103015,0.4737730735094146,0.1312403111890101,0.5300185518190873,NA,NA,-0.7163535424379491,0.47377307350941483,-0.6279776950657879,0.5300185518190872,NA,NA,1,1,Not_Significant
H0004,0,0,0,0.17077520189103015,0.5587160933401475,0.1312403111890101,0.6082244294829044,NA,NA,-0.5847496065156478,0.5587160933401476,-0.5126096101104027,0.6082244294829042,NA,NA,1,1,Not_Significant
H0005,0,0,0,0.17077520189103015,0.4737730735094146,0.1312403111890101,0.5300185518190873,NA,NA,-0.7163535424379491,0.47377307350941483,-0.6279776950657879,0.5300185518190872,NA,NA,1,1,Not_Significant
H0006,0,0,0,0.17077520189103015,0.3548175361964155,0.1312403111890101,0.4172888828283537,NA,NA,-0.9252852749300453,0.3548175361964156,-0.8111337207203317,0.41728888282835347,NA,NA,1,1,Not_Significant
H0007,0,0,0,0.17077520189103015,0.3548175361964155,0.1312403111890101,0.4172888828283537,NA,NA,-0.9252852749300453,0.3548175361964156,-0.8111337207203317,0.41728888282835347,NA,NA,1,1,Not_Significant
H0008,0,0,0,0.17077520189103015,0.3548175361964155,0.1312403111890101,0.4172888828283537,NA,NA,-0.9252852749300453,0.3548175361964156,-0.8111337207203317,0.41728888282835347,NA,NA,1,1,Not_Significant
H0009,0,0,0,0.17077520189103015,0.4080177562909884,0.1312403111890101,0.46826000361036674,NA,NA,-0.8273869827863918,0.40801775629098863,-0.7253130466966894,0.46826000361036674,NA,NA,1,1,Not_Significant
H0010,0,0,0,0.16953198093928087,0.4114373619847658,0.12863289553652163,0.4771398195646368,NA,NA,-0.8213668114449707,0.4114373619847658,-0.7109103053570527,0.47713981956463675,NA,NA,1,1,Not_Significant
